name	abbreviation	equation	lowbnd	uppbnd	Present	obj_coef	rule	Knockout cost	Knockin cost	ProteinClass	subSystem
3-hydroxypimeloyl-CoA dehydrogenase	3HOPCD	[c] : 3hpimcoa + nad <==> 3opimcoa + h + nadh	-Inf	Inf	1	0	Gmet_2072	1	1	Acd	Aromatic Compound degradation
4-hydroxybenzoyl-CoA thioesterase	4HBTE	[c] : 4hbcoa + h2o <==> 4hbz + coa + h	-Inf	Inf	1	0	Gmet_3556	1	1	Hbzt	Aromatic Compound degradation
4-hydroxybenzoylCoA reducatse	4HBZR	[c] : 4hbcoa + fdxr-4:2 + (2) h --> benzcoa + fdxo-4:2 + h2o	0	Inf	1	0	Gmet_2136_OR_Gmet_2134_OR_Gmet_2135	1	1	HbaBCD	Aromatic Compound degradation
arabinose-5-phosphate isomerase	A5PISO	[c] : ru5p-D <==> ara5p	-Inf	Inf	1	0	Gmet_1278	1	1	ArpI	Cell Envelope Biosynthesis
Acetyl-CoA:[acyl-carrier-protein] S-acetyltransferase	AACPAT	[c] : ACP + accoa --> acACP + coa	0	Inf	1	0	Gmet_1599, Gmet_3272	1	1	FabH1, FabH	Fatty Acid Synthesis
acyl-[acyl-carrier-protein] synthetase (n-C14:0)	AACPS1	[c] : ACP + atp + ttdca --> amp + myrsACP + ppi	0	Inf	1	0	Gmet_0086	1	1	Aas	Cell Envelope Biosynthesis
acyl-[acyl-carrier-protein] synthetase  (n-C14:1)	AACPS2	[c] : ACP + atp + ttdcea --> amp + ppi + tdeACP	0	Inf	1	0	Gmet_0086	1	1	Aas	Cell Envelope Biosynthesis
acyl-[acyl-carrier-protein] synthetase  (n-C16:0)	AACPS3	[c] : ACP + atp + hdca --> amp + palmACP + ppi	0	Inf	1	0	Gmet_0086	1	1	Aas	Cell Envelope Biosynthesis
acyl-[acyl-carrier-protein] synthetase  (n-C16:1)	AACPS4	[c] : ACP + atp + hdcea --> amp + hdeACP + ppi	0	Inf	1	0	Gmet_0086	1	1	Aas	Cell Envelope Biosynthesis
acyl-[acyl-carrier-protein] synthetase  (n-C18:1)	AACPS5	[c] : ACP + atp + ocdcea --> amp + octeACP + ppi	0	Inf	1	0	Gmet_0086	1	1	Aas	Cell Envelope Biosynthesis
acetyl-CoA C-acetyltransferase	ACACT1r	[c] : (2) accoa <==> aacoa + coa	-Inf	Inf	1	0	Gmet_2074, Gmet_2213, Gmet_3302, Gmet_1719	1	1	AtoBec4, AtoBec6, AtoBec, AtoBec1	Membrane Lipid Metabolism
acetyl-CoA C-acyltransferase (3-Oxoadipyl-CoA)	ACACT8r	[c] : coa + oxadpcoa <==> accoa + succoa	-Inf	Inf	1	0	Gmet_2268, Gmet_2058, Gmet_2197	1	1	PcaF2, PcaF, PcaF3	Lipid & Cell Wall Metabolism
Adenosyl cobainamide GTP transferase	ACBIPGT	[c] : adcobap + gtp + h --> adgcoba + ppi	0	Inf	1	0	Gmet_0466	1	1	CobU	Vitamins & Cofactor Biosynthesis
acetyl-CoA carboxylase	ACCOAC	[c] : accoa + atp + hco3 --> adp + h + malcoa + pi	0	Inf	1	0	Gmet_2476_OR_Gmet_1216_AND_ Gmet_0984_AND_ Gmet_0983	1	1	AccAD+AccB+AccC	Lipid & Cell Wall Metabolism
UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase	ACGAMT	[c] : uacgam + udcpp --> ump + unaga	0	Inf	1	0	Gmet_1505	1	1	WecA	Lipid & Cell Wall Metabolism
acetylglutamate kinase	ACGK	[c] : acglu + atp --> acg5p + adp	0	Inf	1	0	Gmet_0203	1	1	ArgB	Amino Acid Metabolism
N-acetylglutamate synthase	ACGS	[c] : accoa + glu-L --> acglu + coa + h	0	Inf	1	0	Gmet_0946	1	1	ArgA	Amino Acid Metabolism
2-aceto-2-hydroxybutanoate synthase	ACHBS	[c] : 2obut + h + pyr --> 2ahbut + co2	0	Inf	1	0	Gmet_1261, Gmet_1260	1	1	IlvN1+IlvB	Amino Acid Metabolism
acetate kinase	ACKr	[c] : ac + atp <==> actp + adp	-Inf	Inf	1	0	Gmet_0149, Gmet_1034	1	1	AckA , AckA2	Central Metabolism
acetolactate synthase (Also catalyzes ACHBS)	ACLS	[c] : h + (2) pyr --> alac-S + co2	0	Inf	1	0	Gmet_1261, Gmet_1260	1	1	IlvB+IlvN1	Amino Acid Metabolism
Acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)	ACMAT1	[c] : acACP + h + malACP --> ACP + actACP + co2	0	Inf	1	0	Gmet_1599, Gmet_1603, Gmet_3272, Gmet_1695, Gmet_1696	1	1	FabH1, FabF, FabF3, FabH, FabF2	Fatty Acid Synthesis
N-Acetylneuraminate pyruvate-lyase	ACNPLYS	[c] : acmana + h2o + pep --> acnam + pi	0	Inf	1	0	Gmet_0455	1	1	Anpl	Lipid & Cell Wall Metabolism
acyl-CoA dehydrogenase (butanoyl-CoA)	ACOAD1	[c] : b2coa + h + nadh <==> btcoa + nad	-Inf	Inf	1	0	Gmet_2075, Gmet_2270, Gmet_3307, Gmet_3306, Gmet_2211, Gmet_2198, Gmet_1715, Gmet_1710, Gmet_3289, Gmet_2199	1	1	AcdA, AcdA9, AcdA8, AcdA7, AcdA1, AcdA5, AcdA4, AcdA10, AcdA2, AcdA3	Lipids
acyl-CoA dehydrogenase (hexanoyl-CoA)	ACOAD2	[c] : h + hx2coa + nadh <==> hxcoa + nad	-Inf	Inf	1	0	Gmet_2075, Gmet_2270, Gmet_3307, Gmet_3306, Gmet_2211, Gmet_2198, Gmet_1715, Gmet_1710, Gmet_3289, Gmet_2199	1	1	AcdA5, AcdA10, AcdA7, AcdA2, AcdA3, AcdA1, AcdA9, AcdA8, AcdA4, AcdA	Lipids
acyl-CoA dehydrogenase (octanoyl-CoA)	ACOAD3	[c] : nad + occoa <==> h + nadh + oc2coa	-Inf	Inf	1	0	Gmet_2075, Gmet_2270, Gmet_3307, Gmet_3306, Gmet_2211, Gmet_2198, Gmet_1715, Gmet_1710, Gmet_3289, Gmet_2199	1	1	AcdA2, AcdA8, AcdA5, AcdA1, AcdA, AcdA10, AcdA7, AcdA3, AcdA4, AcdA9	Lipids
acyl-CoA dehydrogenase (decanoyl-CoA)	ACOAD4	[c] : dccoa + nad <==> dc2coa + h + nadh	-Inf	Inf	1	0	Gmet_2075, Gmet_2270, Gmet_3307, Gmet_3306, Gmet_2211, Gmet_2198, Gmet_1715, Gmet_1710, Gmet_3289, Gmet_2199	1	1	AcdA10, AcdA9, AcdA5, AcdA2, AcdA, AcdA7, AcdA3, AcdA8, AcdA1, AcdA4	Lipids
acyl-CoA dehydrogenase (dodecanoyl-CoA)	ACOAD5	[c] : ddcoa + nad <==> h + nadh + trans-dd2coa	-Inf	Inf	1	0	Gmet_2075, Gmet_2270, Gmet_3307, Gmet_3306, Gmet_2211, Gmet_2198, Gmet_1715, Gmet_1710, Gmet_3289, Gmet_2199	1	1	AcdA4, AcdA, AcdA10, AcdA9, AcdA7, AcdA5, AcdA2, AcdA3, AcdA8, AcdA1	Lipids
acyl-CoA dehydrogenase (tetradecanoyl-CoA)	ACOAD6	[c] : nad + tdcoa <==> h + nadh + td2coa	-Inf	Inf	1	0	Gmet_2075, Gmet_2270, Gmet_3307, Gmet_3306, Gmet_2211, Gmet_2198, Gmet_1715, Gmet_1710, Gmet_3289, Gmet_2199	1	1	AcdA, AcdA4, AcdA10, AcdA8, AcdA7, AcdA1, AcdA3, AcdA2, AcdA5, AcdA9	Lipids
acyl-CoA dehydrogenase (hexadecanoyl-CoA)	ACOAD7	[c] : nad + pmtcoa <==> h + hdd2coa + nadh	-Inf	Inf	1	0	Gmet_2075, Gmet_2270, Gmet_3307, Gmet_3306, Gmet_2211, Gmet_2198, Gmet_1715, Gmet_1710, Gmet_3289, Gmet_2199	1	1	AcdA7, AcdA1, AcdA10, AcdA3, AcdA2, AcdA5, AcdA9, AcdA4, AcdA, AcdA8	Lipids
acetyl-CoA hydrolase	ACOAH	[c] : accoa + h2o --> ac + coa + h	0	Inf	1	0	Gmet_3304, Gmet_2054, Gmet_3294	1	1	Ach3, Ach, Ach2	Central Metabolism
aconitase	ACONT	[c] : cit <==> icit	-Inf	Inf	1	0	Gmet_2763, Gmet_1016, Gmet_1912	1	1	Aco3, Aco2, Aco1	Central Metabolism
